书名,目标,页,状态,实际从,实际到,备注
PHP与MySQL程序设计,3.1.5 嵌入多个代码块,35,Done,2013/4/18 0:00,2013/4/18 0:00,J-必须的
PHP与MySQL程序设计,3.2 为代码添加注释,35,Done,2013/4/18 0:00,2013/4/18 0:00,
PHP与MySQL程序设计,3.2.1 单行C++语法,35,Done,2013/4/18 0:00,2013/4/18 0:00,用 //
PHP与MySQL程序设计,3.2.2 shell语法,36,Done,2013/4/18 0:00,2013/4/18 0:00,用 #
PHP与MySQL程序设计,3.2.3 多行C语法,36,Done,2013/4/18 0:00,2013/4/18 0:00,用 /* … */
PHP与MySQL程序设计,3.3 向浏览器输出数据,37,Done,2013/4/18 0:00,2013/4/18 0:00,
PHP与MySQL程序设计,3.3.1 print()语句,37,Done,2013/4/18 0:00,2013/4/18 0:00,"echo(), print()"
PHP与MySQL程序设计,3.3.2 printf()语句,38,Done,2013/4/18 0:00,2013/4/18 0:00,J-记住指示符
PHP与MySQL程序设计,3.3.3 sprintf(),39,Done,2013/4/18 0:00,2013/4/18 0:00,J-注意该技巧
PHP与MySQL程序设计,3.6.2 变量作用域,46,Done,2013/4/19 0:00,2013/4/19 0:00,局部变量
PHP与MySQL程序设计,3.6.2 变量作用域,47,Done,2013/4/19 0:00,2013/4/19 0:00,函数参数
PHP与MySQL程序设计,3.6.2 变量作用域,47,Done,2013/4/19 0:00,2013/4/19 0:00,全局变量
PHP与MySQL程序设计,3.6.2 变量作用域,48,Done,2013/4/19 0:00,2013/4/19 0:00,静态变量
PHP与MySQL程序设计,3.6.3 PHP的超级变局变量,49,Done,2013/4/19 0:00,2013/4/19 0:00,需多做试验
PHP与MySQL程序设计,3.6.4 变量的变量,52,Done,2013/4/19 0:00,2013/4/19 0:00,很特殊的技巧
PHP与MySQL程序设计,3.7 常量,53,Done,2013/4/19 0:00,2013/4/19 0:00,define();
PHP与MySQL程序设计,3.8 表达式,53,Done,2013/4/19 0:00,2013/4/19 0:00,
PHP与MySQL程序设计,3.8.1 操作数,53,Done,2013/4/19 0:00,2013/4/24 10:55,
PHP与MySQL程序设计,3.8.2 操作符,54,Done,2013/4/24 11:00,2013/4/25 13:37,
PHP与MySQL程序设计,3.9 字符串插入,58,Done,2013/4/25 13:38,2013/4/25 13:39,
PHP与MySQL程序设计,3.9.1 双引号,58,Done,2013/4/25 13:40,2013/4/25 17:22,
PHP与MySQL程序设计,3.9.2 单引号,59,Done,2013/4/25 17:23,2013/4/25 17:26,
PHP与MySQL程序设计,3.9.3 heredoc,60,Done,2013/4/25 17:27,2013/4/25 17:31,
PHP 5 Social Networking,Content Review,x,Done,2013/4/19 0:00,2013/4/19 0:00,似乎是个项目
PHP 5 Social Networking,Preface,1,Process,2013/4/19 0:00,,
C#高级编程,3.2.2 函数成员,83,Done,2013/4/17 10:50,2013/5/23 13:45,构造函数
DS&AU-Python,1. Abstract Data Types,1,Process,2013/4/20 10:41,-,J-简洁
DS&AU-Python,1.1 Introduction,1,Done,2013/4/20 10:43,2013/4/20 10:47,J-简单和复杂数据类型
DS&AU-Python,1.1.1 Abstraction,2,Done,2013/4/20 10:48,2013/4/20 11:05,过程抽象-数据抽象
DS&AU-Python,1.1.2 Abstract Data Types,3,Done,2013/4/20 11:06,2013/4/20 14:15,J-很通俗
DS&AU-Python,1.1.3 Data Structures,5,Done,2013/4/20 16:42,2013/4/20 16:48,J-很通俗
DS&AU-Python,1.1.4 General Definitions,6,Done,2013/4/20 16:49,2013/4/20 17:15,J-讲解入理
DS&AU-Python,1.2 The Date Abstract Type,7,Done,2013/4/20 17:16,2013/4/20 17:18,J-特定数据结构解决特定问题
DS&AU-Python,1.2.1 Defining the ADT,7,Done,2013/4/20 17:18,2013/4/20 17:26,J-入情入理的Date类型
DS&AU-Python,1.2.2 Use the ADT,8,Done,2013/4/20 17:27,2013/4/20 17:29,还行
DS&AU-Python,1.2.3 Preconditions and Postcondistions,9,Done,2013/4/22 12:59,2013/4/22 13:07,还算能理解
DS&AU-Python,1.2.4 Implementing ADT,10,Done,2013/4/22 13:08,2013/4/22 13:51,一个Date的不完全实现
DS&AU-Python,1.3 Bags,14,Done,2013/4/22 13:52,2013/4/22 13:54,Bags数据结构
DS&AU-Python,1.3.1 The Bag Abstract Data Type,15,Done,2013/4/22 13:54,2013/4/22 14:14,三个好处
DS&AU-Python,1.3.2 Selecting a Data Strcture,17,Process,2013/4/22 14:16,,
史记,商君列传,205-224,Done,2013/5/13 8:00,2013/5/13 8:37,一生坎坷
华夏地理,2013-2，今日利比亚,87-117,Done,2013/5/11 17:00,2013/5/13 8:56,战后沧桑
华夏地理,2013-2，卫星考古,-,Done,,2013/5/14 8:05,这活要技术
华夏地理,2013-2，险境制图人,-,Done,,2013/5/14 8:11,双面
华夏地理,2013-2，夺命毒口.救人良药,-,Done,2013/5/14 8:12,2013/5/14 8:38,早就知道
华夏地理,2013-2，搁浅世界屋脊,-,Done,2013/5/14 10:35,2013/5/14 11:32,高+辛苦
RHCE,查询RHCE课程介绍,-,Done,2013/5/16 15:00,2013/5/16 17:30,腾科IT教育集团
智慧财产权求行销获利圣经,第1章 智慧财产行销的意义（周延鹏）,70,Done,2013/5/20 14:13,2013/5/20 15:03,强调了重要性
智慧财产权求行销获利圣经,第2章 智慧财产行销的要素（周延鹏）,115,Done,2013/5/20 15:03,2013/5/24 11:50,很有体系，也结合了现实
管理系统模拟,第1章 管理系统模拟基本步骤,-,Done,2013/5/21 10:00,2013/5/21 17:30,有笔记
管理系统模拟,第2章 系统分析与模拟建模,-,Done,2013/5/21 10:00,2013/5/21 17:30,有笔记
管理系统模拟,第3章 输入数据采集分析,-,Done,2013/5/21 10:00,2013/5/21 17:30,有笔记
管理系统模拟,第4章 随机变量的产生,-,Done,2013/5/21 10:00,2013/5/21 17:30,有笔记
管理系统模拟,第5章 输出数据与系统优化,-,Done,2013/5/21 10:00,2013/5/21 17:30,有笔记
管理系统模拟,第6章 GPSS基础,-,Process,2013/5/21 10:00,,有笔记
C#高级编程,3.2.3 只读字段,88,Done,2013/5/23 18:12,2013/5/23 18:12,并不复杂的玩意
C#高级编程,3.3 结构,89,Done,2013/5/23 18:12,2013/5/23 18:12,并不复杂的玩意
C#高级编程,3.3.1 结构是值类型,90,Done,2013/5/23 18:12,2013/5/23 18:12,并不复杂的玩意
C#高级编程,3.3.2 结构和继承,91,Done,2013/5/23 18:12,2013/5/23 18:12,并不复杂的玩意
C#高级编程,3.3.3 结构的构造函数,91,Done,2013/5/23 18:12,2013/5/23 18:12,并不复杂的玩意
PythonTestingCookBook,2. Running Automated Test Suite with Nose,45,Process,2013/5/24 16:00,2013/5/24 17:30,学了会nose，插件没搞明白
PythonTestingCookBook,4. Testing Customer Stories with Behavior Driven Development,118,Process,2013/5/24 16:00,2013/5/24 17:30,把简介中的测试类建好了
智慧财产权求行销获利圣经,第3章 智慧财产行销的执行（周延鹏）,194,Process,2013/5/25 8:50,,
